province_occurred,city_occurred,location_id
Shaanxi,Xi'an,LOC-0001
Guangdong,Dongguan,LOC-0002
Guangdong,Shenzhen,LOC-0003
Tianjin,,LOC-0004
Beijing,Beijing,LOC-0005
Chongqing,Chongqing,LOC-0006
Tianjin,Tianjin,LOC-0007
Ningxia,Wuzhong,LOC-0008
Guangdong,,LOC-0009
Heilongjiang,Daqing,LOC-0010
Yunnan,Chuxiong,LOC-0011
Henan,Kaifeng,LOC-0012
Anhui,Bengbu,LOC-0013
Shaanxi,Weinan,LOC-0014
Shandong,Jinan,LOC-0015
Shanghai,Shanghai,LOC-0016
Guangdong,Heyuan,LOC-0017
Henan,Zhengzhou,LOC-0018
Shandong,,LOC-0019
Anhui,,LOC-0020
Yunnan,Dehong,LOC-0021
Fujian,Nanping,LOC-0022
Shaanxi,Yan'an,LOC-0023
Henan,Anyang,LOC-0024
Yunnan,Kunming,LOC-0025
Inner mongolia,Baotou,LOC-0026
Sichuan,Yibin,LOC-0027
Gansu,Jiayuguan,LOC-0028
Inner mongolia,Ulanqab,LOC-0029
Inner mongolia,Hohhot,LOC-0030
Henan,Zhoukou,LOC-0031
Hainan,Sanya,LOC-0032
Sichuan,Chengdu,LOC-0033
Henan,Xuchang,LOC-0034
Beijing,,LOC-0035
Jilin,Changchun,LOC-0036
Shanxi,,LOC-0037
Guangdong,Shantou,LOC-0038
Fujian,Fuzhou,LOC-0039
Heilongjiang,Harbin,LOC-0040
Jiangsu,Nanjing,LOC-0041
Hainan,,LOC-0042
Anhui,Bozhou,LOC-0043
Guangdong,Guangzhou,LOC-0044
Shandong,Yantai,LOC-0045
Sichuan,Dazhou,LOC-0046
Hubei,Xiangyang,LOC-0047
Henan,Sanmenxia,LOC-0048
Fujian,Longyan,LOC-0049
Henan,Nanyang,LOC-0050
Sichuan,,LOC-0051
Shaanxi,Xianyang,LOC-0052
Sichuan,Meishan,LOC-0053
Liaoning,Shenyang,LOC-0054
Fujian,Ningde,LOC-0055
Liaoning,Jinzhou,LOC-0056
Guangdong,Foshan,LOC-0057
Guangdong,Maoming,LOC-0058
Guangxi,Guilin,LOC-0059
Xinjiang,Bortala,LOC-0060
Zhejiang,Wenzhou,LOC-0061
,,LOC-0062
Jiangxi,Nanchang,LOC-0063
Yunnan,Qujing,LOC-0064
Hubei,Wuhan,LOC-0065
Guangdong,Shaoguan,LOC-0066
Fujian,,LOC-0067
Jiangsu,Yancheng,LOC-0068
Shandong,Linyi,LOC-0069
Fujian,Sanming,LOC-0070
Shandong,Qingdao,LOC-0071
Heilongjiang,Yichun,LOC-0072
Zhejiang,Taizhou,LOC-0073
Henan,Xinyang,LOC-0074
Gansu,Lanzhou,LOC-0075
Guangdong,Jiangmen,LOC-0076
Yunnan,Baoshan,LOC-0077
Hunan,,LOC-0078
Hebei,Baoding,LOC-0079
Heilongjiang,Mudanjiang,LOC-0080
Hainan,Haikou,LOC-0081
Henan,,LOC-0082
Hunan,Zhuzhou,LOC-0083
Zhejiang,Jinhua,LOC-0084
Gansu,Pingliang,LOC-0085
Fujian,Xiamen,LOC-0086
Guangdong,Zhongshan,LOC-0087
Guangdong,Zhuhai,LOC-0088
Yunnan,Pu'er,LOC-0089
Henan,Luoyang,LOC-0090
Guizhou,Guiyang,LOC-0091
Ningxia,Yinchuan,LOC-0092
Jiangxi,Shangrao,LOC-0093
Liaoning,Dandong,LOC-0094
Zhejiang,Huzhou,LOC-0095
Hebei,Shijiazhuang,LOC-0096
Shanxi,Taiyuan,LOC-0097
Hunan,Xiangtan,LOC-0098
Hubei,Xianning,LOC-0099
Zhejiang,Zhoushan,LOC-0100
Hebei,Handan,LOC-0101
Hunan,Hengyang,LOC-0102
Jilin,Jilin,LOC-0103
Hunan,Changsha,LOC-0104
Liaoning,Huludao,LOC-0105
Yunnan,,LOC-0106
Guangxi,Nanning,LOC-0107
Jiangsu,Wuxi,LOC-0108
Guangdong,Meizhou,LOC-0109
Henan,Shangqiu,LOC-0110
Jiangxi,Jiujiang,LOC-0111
Anhui,Fuyang,LOC-0112
Hebei,,LOC-0113
Jiangxi,Ji'an,LOC-0114
Hubei,Xiaogan,LOC-0115
Henan,Xinxiang,LOC-0116
Zhejiang,Ningbo,LOC-0117
Hunan,Chenzhou,LOC-0118
Sichuan,Zigong,LOC-0119
Xinjiang,Karamay,LOC-0120
Guangdong,Huizhou,LOC-0121
Hunan,Huaihua,LOC-0122
Guangdong,Qingyuan,LOC-0123
Anhui,Hefei,LOC-0124
Shandong,Jining,LOC-0125
Jiangsu,,LOC-0126
Liaoning,Anshan,LOC-0127
Chongqing,,LOC-0128
Henan,Luohe,LOC-0129
Inner mongolia,Ordos,LOC-0130
Sichuan,Guangyuan,LOC-0131
Jiangsu,Nantong,LOC-0132
Shaanxi,,LOC-0133
Shanxi,Changzhi,LOC-0134
Heilongjiang,,LOC-0135
Fujian,Zhangzhou,LOC-0136
Anhui,Suzhou,LOC-0137
Liaoning,Tieling,LOC-0138
Shandong,Dezhou,LOC-0139
Heilongjiang,Heihe,LOC-0140
Liaoning,Chaoyang,LOC-0141
Fujian,Quanzhou,LOC-0142
Inner mongolia,Tongliao,LOC-0143
Jiangsu,Suzhou,LOC-0144
Guangdong,Zhaoqing,LOC-0145
Inner mongolia,Xilin gol,LOC-0146
Xinjiang,Urumqi,LOC-0147
Zhejiang,Hangzhou,LOC-0148
Qinghai,Haixi,LOC-0149
Hubei,,LOC-0150
Liaoning,Panjin,LOC-0151
Shandong,Zibo,LOC-0152
Heilongjiang,Hegang,LOC-0153
Jiangsu,Suqian,LOC-0154
Sichuan,Suining,LOC-0155
Jiangxi,Fuzhou,LOC-0156
Sichuan,Luzhou,LOC-0157
Heilongjiang,Qitaihe,LOC-0158
Gansu,Jiuquan,LOC-0159
Shandong,Weifang,LOC-0160
Guangxi,Laibin,LOC-0161
Jiangsu,Xuzhou,LOC-0162
Jilin,Songyuan,LOC-0163
Shandong,Dongying,LOC-0164
Hunan,Xiangxi,LOC-0165
Guizhou,Zunyi,LOC-0166
Inner mongolia,Hulun buir,LOC-0167
Anhui,Huaibei,LOC-0168
Qinghai,Xining,LOC-0169
Liaoning,Dalian,LOC-0170
Anhui,Ma'anshan,LOC-0171
Hunan,Yiyang,LOC-0172
Hubei,Enshi,LOC-0173
Gansu,,LOC-0174
Shandong,Zaozhuang,LOC-0175
Jiangsu,Huaian,LOC-0176
Shanxi,Yangquan,LOC-0177
Jilin,Siping,LOC-0178
Xinjiang,Hami,LOC-0179
Anhui,Chizhou,LOC-0180
Inner mongolia,Bayannur,LOC-0181
Hebei,Chengde,LOC-0182
Jiangxi,Ganzhou,LOC-0183
Hunan,Shaoyang,LOC-0184
Heilongjiang,Suihua,LOC-0185
Anhui,Xuancheng,LOC-0186
Jiangxi,Pingxiang,LOC-0187
Guangxi,Baise,LOC-0188
Gansu,Wuwei,LOC-0189
Shanxi,Linfen,LOC-0190
Hebei,Cangzhou,LOC-0191
