risk_id,assessment_date_key,event_count,total_net_loss,avg_net_loss,impact_score,probability_score_1_5,control_effectiveness,inherent_risk_score,residual_risk_score
RISK-001,20190101,2,36788.329999999994,18394.164999999997,2,2,0.618,4,2.33
RISK-001,20190201,4,81877.35,20469.3375,3,3,0.618,9,5.24
RISK-001,20190301,1,9828.8,9828.8,2,1,0.618,2,1.16
RISK-001,20190401,3,87217.0,29072.333333333332,3,3,0.618,9,5.24
RISK-001,20190501,3,138501.55,46167.18333333333,3,3,0.618,9,5.24
RISK-001,20190601,5,692080.4199999999,138416.08399999997,3,4,0.618,12,6.98
RISK-001,20190701,3,66448.44,22149.48,3,3,0.618,9,5.24
RISK-001,20190801,3,68871.75,22957.25,3,3,0.618,9,5.24
RISK-001,20190901,3,21150.54,7050.18,2,3,0.618,6,3.49
RISK-001,20191001,2,56622.01,28311.005,3,2,0.618,6,3.49
RISK-001,20191101,2,34840.380000000005,17420.190000000002,2,2,0.618,4,2.33
RISK-001,20191201,4,48171.19,12042.7975,2,3,0.618,6,3.49
RISK-001,20200101,5,890712.35,178142.47,3,4,0.618,12,6.98
RISK-001,20200201,2,28875.629999999997,14437.814999999999,2,2,0.618,4,2.33
RISK-001,20200301,6,234866.44,39144.40666666667,3,4,0.618,12,6.98
RISK-001,20200401,6,106397.73999999999,17732.956666666665,2,4,0.618,8,4.66
RISK-001,20200501,5,85992.79000000001,17198.558,2,4,0.618,8,4.66
RISK-001,20200601,2,389268.64999999997,194634.32499999998,3,2,0.618,6,3.49
RISK-001,20200701,2,13294.58,6647.29,2,2,0.618,4,2.33
RISK-001,20200801,2,41240.560000000005,20620.280000000002,3,2,0.618,6,3.49
RISK-001,20200901,2,12246.17,6123.085,2,2,0.618,4,2.33
RISK-001,20201001,4,55397.36,13849.34,2,3,0.618,6,3.49
RISK-001,20201101,4,54288.81,13572.2025,2,3,0.618,6,3.49
RISK-001,20201201,4,1217175.66,304293.915,4,3,0.618,12,6.98
RISK-001,20210101,3,896382.19,298794.0633333333,4,3,0.618,12,6.98
RISK-001,20210201,3,73551.64,24517.213333333333,3,3,0.618,9,5.24
RISK-001,20210301,2,99559.73999999999,49779.869999999995,3,2,0.618,6,3.49
RISK-001,20210401,3,20703.14,6901.046666666666,2,3,0.618,6,3.49
RISK-001,20210501,2,16488.15,8244.075,2,2,0.618,4,2.33
RISK-001,20210601,2,489366.7,244683.35,4,2,0.618,8,4.66
RISK-001,20210701,3,15170.36,5056.786666666667,2,3,0.618,6,3.49
RISK-001,20210801,2,1777778.2,888889.1,4,2,0.618,8,4.66
RISK-001,20210901,3,196819.45,65606.48333333334,3,3,0.618,9,5.24
RISK-001,20211001,2,62390.030000000006,31195.015000000003,3,2,0.618,6,3.49
RISK-001,20211101,3,96259.84,32086.61333333333,3,3,0.618,9,5.24
RISK-001,20211201,4,23991.09,5997.7725,2,3,0.618,6,3.49
RISK-001,20220101,5,201727.51,40345.502,3,4,0.618,12,6.98
RISK-001,20220201,1,371159.46,371159.46,4,1,0.618,4,2.33
RISK-001,20220301,2,87603.81999999999,43801.909999999996,3,2,0.618,6,3.49
RISK-001,20220401,2,152788.93,76394.465,3,2,0.618,6,3.49
RISK-001,20220501,3,9441.04,3147.013333333334,2,3,0.618,6,3.49
RISK-001,20220601,5,728812.76,145762.552,3,4,0.618,12,6.98
RISK-001,20220701,3,28306.36,9435.453333333333,2,3,0.618,6,3.49
RISK-001,20220801,3,814196.96,271398.98666666663,4,3,0.618,12,6.98
RISK-001,20220901,2,10760.14,5380.07,2,2,0.618,4,2.33
RISK-001,20221001,4,188809.97,47202.4925,3,3,0.618,9,5.24
RISK-001,20221101,2,38369.72,19184.86,2,2,0.618,4,2.33
RISK-001,20221201,2,337598.9,168799.45,3,2,0.618,6,3.49
RISK-001,20230101,4,173200.55,43300.1375,3,3,0.618,9,5.24
RISK-001,20230201,2,15663.11,7831.555,2,2,0.618,4,2.33
RISK-001,20230301,5,92259.20999999999,18451.841999999997,2,4,0.618,8,4.66
RISK-001,20230401,4,68671.56999999999,17167.892499999998,2,3,0.618,6,3.49
RISK-001,20230501,3,502306.95,167435.65,3,3,0.618,9,5.24
RISK-001,20230601,3,31764.74,10588.246666666668,2,3,0.618,6,3.49
RISK-001,20230801,3,85768.62000000001,28589.540000000005,3,3,0.618,9,5.24
RISK-001,20230901,2,19415.829999999998,9707.914999999999,2,2,0.618,4,2.33
RISK-001,20231001,4,3010019.61,752504.9025,4,3,0.618,12,6.98
RISK-001,20231101,6,1251047.44,208507.90666666665,3,4,0.618,12,6.98
RISK-001,20231201,5,167497.17,33499.434,3,4,0.618,12,6.98
RISK-001,20240101,2,192951.42,96475.71,3,2,0.618,6,3.49
RISK-001,20240201,1,6085.59,6085.59,2,1,0.618,2,1.16
RISK-001,20240301,2,487891.26,243945.63,4,2,0.618,8,4.66
RISK-001,20240401,4,374745.14999999997,93686.28749999999,3,3,0.618,9,5.24
RISK-001,20240501,3,28464.67,9488.223333333333,2,3,0.618,6,3.49
RISK-001,20240601,2,20669.39,10334.695,2,2,0.618,4,2.33
RISK-002,20190101,4,150206.66,37551.665,3,3,0.574384236453202,9,5.63
RISK-002,20190201,5,56338.32,11267.664,2,4,0.574384236453202,8,5.0
RISK-002,20190301,4,36518.86,9129.715,2,3,0.574384236453202,6,3.75
RISK-002,20190401,5,51361.48,10272.296,2,4,0.574384236453202,8,5.0
RISK-002,20190501,1,17606.28,17606.28,2,1,0.574384236453202,2,1.25
RISK-002,20190601,2,17680.36,8840.18,2,2,0.574384236453202,4,2.5
RISK-002,20190701,3,791394.99,263798.33,4,3,0.574384236453202,12,7.51
RISK-002,20190801,5,1070156.2000000002,214031.24000000005,3,4,0.574384236453202,12,7.51
RISK-002,20190901,3,169778.14,56592.71333333334,3,3,0.574384236453202,9,5.63
RISK-002,20191001,2,16727.72,8363.86,2,2,0.574384236453202,4,2.5
RISK-002,20191101,4,340303.72,85075.93,3,3,0.574384236453202,9,5.63
RISK-002,20191201,2,226446.72,113223.36,3,2,0.574384236453202,6,3.75
RISK-002,20200101,4,66138.68,16534.67,2,3,0.574384236453202,6,3.75
RISK-002,20200201,1,148139.39,148139.39,3,1,0.574384236453202,3,1.88
RISK-002,20200301,3,65359.479999999996,21786.493333333332,3,3,0.574384236453202,9,5.63
RISK-002,20200401,3,37767.82,12589.273333333333,2,3,0.574384236453202,6,3.75
RISK-002,20200501,4,641834.22,160458.555,3,3,0.574384236453202,9,5.63
RISK-002,20200601,1,29932.18,29932.18,3,1,0.574384236453202,3,1.88
RISK-002,20200701,2,1444827.3199999998,722413.6599999999,4,2,0.574384236453202,8,5.0
RISK-002,20200801,4,832244.1900000001,208061.04750000002,3,3,0.574384236453202,9,5.63
RISK-002,20200901,4,58364.89,14591.2225,2,3,0.574384236453202,6,3.75
RISK-002,20201001,1,11779.24,11779.24,2,1,0.574384236453202,2,1.25
RISK-002,20201101,5,267176.37,53435.274,3,4,0.574384236453202,12,7.51
RISK-002,20201201,4,1255319.68,313829.92,4,3,0.574384236453202,12,7.51
RISK-002,20210101,2,16546.059999999998,8273.029999999999,2,2,0.574384236453202,4,2.5
RISK-002,20210201,3,427522.44,142507.48,3,3,0.574384236453202,9,5.63
