model,test_rows,positive_rate_test,metric,metric_value
ExtraTrees,447,0.02237136465324385,roc_auc,0.78558352402746
RandomForest,447,0.02237136465324385,roc_auc,0.7389016018306636
LogisticRegression,447,0.02237136465324385,roc_auc,0.6034324942791762
ExtraTrees,447,0.02237136465324385,accuracy,0.8970917225950783
RandomForest,447,0.02237136465324385,accuracy,0.9373601789709173
LogisticRegression,447,0.02237136465324385,accuracy,0.9463087248322147
ExtraTrees,447,0.02237136465324385,precision,0.09090909090909091
RandomForest,447,0.02237136465324385,precision,0.125
LogisticRegression,447,0.02237136465324385,precision,0.1111111111111111
ExtraTrees,447,0.02237136465324385,recall,0.4
RandomForest,447,0.02237136465324385,recall,0.3
LogisticRegression,447,0.02237136465324385,recall,0.2
ExtraTrees,447,0.02237136465324385,f1_score,0.14814814814814814
RandomForest,447,0.02237136465324385,f1_score,0.17647058823529413
LogisticRegression,447,0.02237136465324385,f1_score,0.14285714285714285
